"","system","season","Df","SumOfSqs","R2","F","Pr(>F)"
"seasonYear...1","AP","winter",19,21.0825679049614,0.0354472519579311,3.00172262898829,0.001
"Temperature...2","AP","winter",1,4.89730829299749,0.00823410704806482,13.2482372460188,0.001
"BottomVegCover...3","AP","winter",1,18.9939712636619,0.0319355824252454,51.3826417472765,0.001
"seasonYear:Temperature...4","AP","winter",19,10.45495752023,0.0175784807192223,1.48857021189531,0.001
"Residual...5","AP","winter",1459,539.330075903533,0.906804577849536,NA,NA
"Total...6","AP","winter",1499,594.758880885384,1,NA,NA
"seasonYear...7","AP","summer",19,14.2158614683794,0.0229297362731648,2.04644484749346,0.001
"Temperature...8","AP","summer",1,1.49770068214146,0.00241574397260623,4.09642955276347,0.001
"BottomVegCover...9","AP","summer",1,29.9903243784153,0.0483734475236218,82.0279062068956,0.001
"seasonYear:Temperature...10","AP","summer",19,8.30483877768163,0.0133954430680803,1.19552336407144,0.001
"Residual...11","AP","summer",1548,565.966197170642,0.912885629162527,NA,NA
"Total...12","AP","summer",1588,619.97492247726,1,NA,NA
"seasonYear...13","CH","winter",22,39.5708002536852,0.0365883230140367,5.01979583228072,0.001
"Temperature...14","CH","winter",1,3.80950131565977,0.00352237669610376,10.6316832489126,0.001
"BottomVegCover...15","CH","winter",1,32.7871560687425,0.0303159665527124,91.5034880084193,0.001
"seasonYear:Temperature...16","CH","winter",22,13.1702284120827,0.0121775796349999,1.67072329266327,0.001
"Residual...17","CH","winter",2769,992.17676976417,0.917395754102146,NA,NA
"Total...18","CH","winter",2815,1081.51445581434,1,NA,NA
"seasonYear...19","CH","summer",22,24.2472022952296,0.024802856375939,3.48495342354742,0.001
"Temperature...20","CH","summer",1,1.34155459617241,0.00137229794861289,4.24195810178011,0.001
"BottomVegCover...21","CH","summer",1,48.0226231815638,0.0491231198991772,151.846191019711,0.001
"seasonYear:Temperature...22","CH","summer",22,9.29097083648369,0.00950388471397711,1.33535408458457,0.001
"Residual...23","CH","summer",2829,894.694822888304,0.915197841062294,NA,NA
"Total...24","CH","summer",2875,977.597173797754,1,NA,NA
"seasonYear...25","CK","winter",19,20.6270830633835,0.0326650494267781,2.74477696877872,0.001
"Temperature...26","CK","winter",1,3.93993309141619,0.00623927817490439,9.96120071450442,0.001
"BottomVegCover...27","CK","winter",1,7.11663763463437,0.0112699075954402,17.9927562844748,0.001
"seasonYear:Temperature...28","CK","winter",19,12.8254800056617,0.0203104305645034,1.70664373750274,0.001
"Residual...29","CK","winter",1484,586.963447001731,0.929515334238374,NA,NA
"Total...30","CK","winter",1524,631.472580796826,1,NA,NA
"seasonYear...31","CK","summer",19,20.5611967459131,0.0313105389985626,2.89124469124479,0.001
"Temperature...32","CK","summer",1,1.58155060815317,0.00240838131197899,4.22545181922194,0.001
"BottomVegCover...33","CK","summer",1,21.7566179809393,0.0331309234665259,58.1274734768231,0.001
"seasonYear:Temperature...34","CK","summer",19,10.177486509868,0.0154982510119653,1.4311231104639,0.001
"Residual...35","CK","summer",1610,602.609280158701,0.917651905210968,NA,NA
"Total...36","CK","summer",1650,656.686132003574,1,NA,NA
"seasonYear...37","TB","winter",22,33.569749776544,0.0292540178633914,3.775581465231,0.001
"Temperature...38","TB","winter",1,3.54554854329704,0.00308973230695945,8.77287331516112,0.001
"BottomVegCover...39","TB","winter",1,27.0397831906782,0.0235635447314247,66.9054701985981,0.001
"seasonYear:Temperature...40","TB","winter",22,13.1843212782367,0.0114893430173769,1.4828373574754,0.001
"Residual...41","TB","winter",2648,1070.18672279529,0.932603362080848,NA,NA
"Total...42","TB","winter",2694,1147.52612558405,1,NA,NA
"seasonYear...43","TB","summer",22,21.6807021937149,0.0198045228376835,2.69016290039418,0.001
"Temperature...44","TB","summer",1,1.32144858287123,0.0012070946044305,3.6072661417711,0.001
"BottomVegCover...45","TB","summer",1,41.9000184952845,0.0382741234935544,114.377903171395,0.001
"seasonYear:Temperature...46","TB","summer",22,9.23828837349993,0.00843883613359736,1.14629592821661,0.004
"Residual...47","TB","summer",2786,1020.59443556102,0.932275422930734,NA,NA
"Total...48","TB","summer",2832,1094.73489320639,1,NA,NA
