Scientificname,group
No fish,none
Callinectes sapidus,crab
Fundulus grandis,fish
Lagodon rhomboides,fish
Sciaenops ocellatus,fish
Farfantepenaeus spp.,shrimp
Syngnathus scovelli,syngnathid
Hypsoblennius hentz,fish
Symphurus plagiusa,fish
Farfantepenaeus duorarum,shrimp
Syngnathus louisianae,syngnathid
Serraniculus pumilio,fish
Ctenogobius boleosoma,fish
Sphoeroides nephelus,fish
Menidia spp.,fish
Micropogonias undulatus,fish
Mugil cephalus,fish
Mugil curema,fish
Leiostomus xanthurus,fish
Cyprinodon variegatus,fish
Fundulus similis,fish
Lucania parva,fish
Menticirrhus americanus,fish
Dasyatis sabina,elasmobranch
Urophycis floridana,fish
Microgobius gulosus,fish
Elops saurus,fish
Peprilus burti,fish
Myrophis punctatus,fish
Etropus crossotus,fish
Prionotus scitulus,fish
Prionotus tribulus,fish
Brevoortia spp.,fish
Anchoa spp.,fish
Citharichthys spilopterus,fish
Farfantepenaeus aztecus,shrimp
Gobiosoma robustum,fish
Stephanolepis hispidus,fish
Astroscopus y-graecum,fish
Menticirrhus saxatilis,fish
Paralichthys albigutta,fish
Bairdiella chrysoura,fish
Achirus lineatus,fish
Sphoeroides parvus,fish
Gobiosoma bosc,fish
Membras martinica,fish
Paralichthys squamilentus,fish
Menippe spp.,crab
Sphyraena borealis,fish
Microgobius thalassinus,fish
Poecilia latipinna,fish
Orthopristis chrysoptera,fish
Cynoscion nebulosus,fish
Synodus foetens,fish
Eucinostomus spp.,fish
Chloroscombrus chrysurus,fish
Strongylura marina,fish
Chasmodes saburrae,fish
Oligoplites saurus,fish
Menticirrhus littoralis,fish
Hippocampus erectus,syngnathid
Archosargus probatocephalus,fish
Caranx hippos,fish
Ariopsis felis,fish
Cynoscion arenarius,fish
Menticirrhus spp.,fish
Dorosoma petenense,fish
Syngnathus floridae,syngnathid
Trinectes maculatus,fish
Litopenaeus setiferus,shrimp
Gobionellus oceanicus,fish
Harengula jaguana,fish
Trachinotus falcatus,fish
Opisthonema oglinum,fish
Peprilus paru,fish
Lutjanus synagris,fish
Opsanus beta,fish
Chilomycterus schoepfii,fish
Lutjanus griseus,fish
Ctenogobius shufeldti,fish
Acanthostracion quadricornis,fish
Halichoeres bivittatus,fish
Strongylura notata,fish
Stellifer lanceolatus,fish
Nicholsina usta,fish
Diplectrum bivittatum,fish
Lepomis spp.,fish
Mycteroperca microlepis,fish
Paralichthys lethostigma,fish
Pogonias cromis,fish
Callinectes similis,crab
Bagre marinus,fish
Echeneis naucrates,fish
Callinectes spp.,crab
Dasyatis say,elasmobranch
Sardinella aurita,fish
Selene vomer,fish
Limulus polyphemus,horseshoe crab
Bothidae spp.,fish
Serranus subligarius,fish
Monacanthus ciliatus,fish
Hippocampus zosterae,syngnathid
Urophycis regia,fish
Fundulus spp.,fish
Mugil spp.,fish
Hyporhamphus meeki,fish
Strongylura spp.,fish
Rhinoptera bonasus,elasmobranch
Porichthys plectrodon,fish
Trachinotus carolinus,fish
Membras spp.,fish
Pomatomus saltatrix,fish
Chaetodipterus faber,fish
Hemicaranx amblyrhynchus,fish
Diplectrum formosum,fish
Gymnura micrura,elasmobranch
Citharichthys macrops,fish
Calamus arctifrons,fish
Centropristis striata,fish
Stomolophus meleagris,cnidarian
Hypsoblennius ionthas,fish
Adinia xenica,fish
Gobiesox strumosus,fish
Ophichthus gomesii,fish
Cyprinidae spp.,fish
Micropterus salmoides,fish
Ictalurus punctatus,fish
Lepisosteus osseus,fish
Scomberomorus maculatus,fish
Lepomis microlophus,fish
Dormitator maculatus,fish
Sphyraena guachancho,fish
Lepomis punctatus,fish
Notemigonus crysoleucas,fish
Notropis petersoni,fish
Notropis chalybaeus,fish
Anarchopterus criniger,syngnathid
Bathygobius soporator,fish
Diplodus holbrookii,fish
Notropis texanus,fish
Monacanthus spp.,fish
Gobiosoma spp.,fish
Rimapenaeus constrictus,shrimp
Sphoeroides spp.,fish
Morone saxatilis,fish
Ancylopsetta quadrocellata,fish
Lepomis gulosus,fish
Caranx latus,fish
Lactophrys triqueter,fish
Sicyonia typica,shrimp
Gambusia holbrooki,fish
Alosa chrysochloris,fish
Epinephelus morio,fish
Sphyraena barracuda,fish
Tylosurus crocodilus,fish
Aluterus schoepfii,fish
Haemulon plumierii,fish
Portunus spp.,crab
Strongylura timucu,fish
Paralichthys spp.,fish
Dorosoma cepedianum,fish
Penaeidae spp.,shrimp
Erotelis smaragdus,fish
Ogcocephalus cubifrons,fish
Xiphopenaeus kroyeri,shrimp
Caranx crysos,fish
Parablennius marmoreus,fish
Syngnathidae spp.,syngnathid
Labidesthes sicculus,fish
Elassoma evergladei,fish
Etropus spp.,fish
Clupeidae spp.,fish
Eleotris amblyopsis,fish
Cyprinus carpio,fish
Sphyrna tiburo,elasmobranch
Fundulus confluentus,fish
Ophichthidae spp.,fish
Engraulidae spp.,fish
Lutjanus analis,fish
Argopecten irradians,bivalve
Sciaenidae spp.,fish
Mugil trichodon,fish
Echeneis neucratoides,fish
Lobotes surinamensis,fish
Sparidae spp.,fish
Alosa spp.,fish
Albula vulpes,fish
Lutjanus spp.,fish
Ameiurus catus,fish
Ostraciidae spp.,fish
Sicyonia laevigata,shrimp
Citharichthys spp.,fish
Hyporhamphus spp.,fish
Pomoxis nigromaculatus,fish
Lepomis macrochirus,fish
Gobiosoma longipala,fish
Prionotus longispinosus,fish
Callinectes ornatus,crab
Mycteroperca spp.,fish
Elops smithi,fish
Megalops atlanticus,fish
Arenaeus cribrarius,crab
Fundulus chrysotus,fish
Heterandria formosa,fish
Sicyonia spp.,shrimp
Sicyonia dorsalis,shrimp
Hypleurochilus caudovittatus,fish
Prionotus spp.,fish
Etropus cyclosquamus,fish
Albula goreensis,fish
Microdesmus longipinnis,fish
Syngnathus spp.,syngnathid
Paralichthyidae spp.,fish
Rimapenaeus spp.,shrimp
Rachycentron canadum,fish
Caranx spp.,fish
Gobiidae spp.,fish
Ophidion spp.,fish
Larimus fasciatus,fish
Xyrichtys novacula,fish
Lepisosteus oculatus,fish
Hypeurochilus multifilis,fish
Minytrema melanops,fish
Xanthidae spp.,crab
Floridichthys carpio,fish
Calamus spp.,fish
Paraclinus marmoratus,fish
Scorpaena brasiliensis,fish
Eugerres plumieri,fish
Sphoeroides spengleri,fish
Centropomus undecimalis,fish
Lophogobius cyprinoides,fish
Mullidae spp.,fish
Oreochromis aureus,fish
Ocyurus chrysurus,fish
Diapterus auratus,fish
Blenniidae spp.,fish
Ctenogobius smaragdus,fish
Gobiesocidae spp.,fish
Hoplosternum littorale,fish
Fundulus seminolis,fish
Lupinoblennius nicholsi,fish
Hypoatherina harringtonensis,fish
Diapterus spp.,fish
Cichlasoma urophthalmus,fish
Epinephelus itajara,fish
Gerres cinereus,fish
Fistularia tabacaria,syngnathid
Dasyatis americana,elasmobranch
Syngnathus springeri,syngnathid
Calamus penna,fish
Pterygoplichthys disjunctivus,fish
Hyporhamphus unifasciatus,fish
Hemichromis letourneuxi,fish
Cichlidae spp.,fish
Urophycis spp.,fish
Carcharhinus spp.,elasmobranch
Oreochromis/Sarotherodon spp.,fish
Sarotherodon melanotheron,fish
Kryptolebias marmoratus,fish
Pleuronectiformes spp.,fish
Haemulon spp.,fish
Carcharhinus leucas,elasmobranch
Albula spp.,fish
Haemulon aurolineatum,fish
Elopidae spp.,fish
Stephanolepis setifer,fish
Sparisoma radians,fish
Lachnolaimus maximus,fish
Rhizoprionodon terraenovae,elasmobranch
Carcharhinus limbatus,elasmobranch
Argopecten spp.,bivalve
Prionotus martis,fish
Acanthostracion spp.,fish
Alosa alabamae,fish
Lactophrys trigonus,fish
Diplectrum spp.,fish
Monacanthidae spp.,fish
Haemulidae spp.,fish
Tylosurus spp.,fish
Dactyloscopus moorei,fish
Dactyloscopidae spp.,fish
Hippocampus spp.,syngnathid
Lactophrys spp.,fish
Achiridae spp.,fish
Hemiramphus balao,fish
Atherinidae spp.,fish
Alpheidae spp.,shrimp
Bathygobius spp.,fish
Hemiramphidae spp.,fish
Sicyonia parri,shrimp
Synodontidae spp.,fish
Protemblemaria punctata,fish
Atherinopsidae spp.,fish
Albula conorhynchus,fish
Hemiramphus spp.,fish
Elopiformes spp.,fish
Lepisosteus platyrhincus,fish
Elops spp.,fish
Gerreidae spp.,fish
